iter	Passed	Remaining
420	2662	3661
421	2668	3654
422	2671	3644
423	2676	3636
424	2679	3625
425	2683	3615
426	2686	3605
427	2689	3594
428	2692	3583
429	2696	3573
430	2698	3563
431	2701	3552
432	2705	3542
433	2708	3532
434	2711	3521
435	2713	3510
436	2716434	26437	2721	3491
438	2723	3480
439	2727	3471
440	2730	3461
441	2735	3453
442	2738440	27443	2740441	27444	2743442	27445	2747443	27446	2750444	27447	2753445	27448	2757	3383
449	2759	3373
450	2763448	27451	2765449	27452	2769450	27453	2774451	27454	2779	3329
455	2782453	27456	2785454	27457	2788455	2763	3296
456	2767	3288
457	2772	3280
458	27461	2804459	2778	3261
460	2786	3257
461	2790	3249
462	2794	3241
463	2797	3231
464	2799	3221
465	2802	3211
466	2805	3202
467	2810	3194
468	28471	2841469	28472	2843470	28473	2846471	2822	3157
472	2825	3148
473	28476	2858474	28477	2862475	2837	3124
476	2842	3116
477	2845	3107
478	2848	3098
479	2853	3091
480	2856	3082
481	2860	3074
482	2865	3066
483	2870	3059
484	2873	3050
485	2876	3041
486	2885	3039
487	2888	3030
488	2892	3022
489	2897	3015
490	2900	3006
491	2904	2999
492	2908	2990
493	2909	2980
494	2913	2971
495	2916	2963
496	2919	2954
497	29500	2951498	2926	2937
499	29502	2960500	29503	2966	2919
504	2968502	29505	2970503	29506	2976	2894
507	2978505	29508	2982506	29509	2986507	29510	2990	2862
511	2994	2854
512	2996510	29513	3003511	29514	3006512	29515	3010513	29516	3012514	29517	3015515	29518	3020516	29519	3024517	29520	3030	2786
521	3035	2779
522	3038	2771
523	3042	2763
524	3045522	30525	3049523	30526	3051524	3027	2738
525	3030	2731
526	3034	2723
527	30530	3066528	30531	3071529	30532	3075530	30533	3079531	30534	3083	2680
535	3087533	30536	3090534	3065	2664
535	3069	2657
536	3074	2650
537	3077	2642
538	3082	2636
539	3086	2628
540	3089	2621
541	3092	2612
542	3096	2606
543	3099	2597
544	3102	2589
545	3103	2580
546	31549	3136547	31550	3140548	31551	3144	2552
552	3148	2545
553	3154	2539
554	3158	2532
555	3162	2525
556	3170	2521
557	3175	2515
558	3179	2508
559	3186	2503
560	3189	2496
561	3192	2488
562	3197	2481
563	3201	2474
564	3204	2467
565	3209	2460
566	3214	2454
567	3218	2448
568	3222	2440
569	3227	2434
570	3232	2428
571	3237	2422
572	3241	2415
573	3245	2408
574	3248	2401
575	3255	2396
576	3261	2391
577	3265	2384
578	3268	2376
579	3275	2372
580	3281	2366
581	3285	2359
582	3288	2352
583	3295	2347
584	3298	2340
585	3303	2333
586	3307	2327
587	3313	2321
588	3318	2315
589	3322	2308
590	3328	2303
591	3329	2294
592	3333	2288
593	3336	2280
594	3340	2273
595	3342	2266
596	3349	2261
597	3352	2253
598	3355	2246
599	3360	2240
600	3364	2233
601	3368	2226
602	3373	2221
603	3378	2215
604	3382	2208
605	3386	2201
606	3392	2196
607	3397	2190
608	3400	2183
609	3405	2177
610	3410	2171
611	3413	2163
612	3417	2157
613	3422	2151
614	3426	2144
615	3430	2138
616	3435	2132
617	3440	2126
618	3443	2119
619	3447	2112
620	3450	2105
621	3452	2098
622	3454	2090
623	3458	2083
624	3461	2076
625	3465	2070
626	3469	2063
627	3473	2057
628	3478	2051
629	3481	2044
630	3483	2037
631	3486	2029
632	3490	2023
633	3494	2017
634	3499	2011
635	3501	2003
636	3503	1996
637	3506	1989
638	3510	1983
639	3514	1977
640	3520	1971
641	3524	1965
642	3528	1959
643	3532	1952
644	3535	1946
645	3538	1938
646	3541	1932
647	3544	1925
648	3546	1918
649	3551	1912
650	3555	1906
651	3560	1900
652	3565	1894
653	3568	1887
654	3572	1881
655	3576	1875
656	3578	1868
657	3582	1862
658	3587	1856
659	3590	1849
660	3593	1843
661	3596	1836
662	3601	1830
663	3605	1824
664	3609	1818
665	3613	1812
666	3617	1806
667	3620	1799
668	3624	1793
669	3627	1786
670	3629	1779
671	3633	1773
672	3636	1766
673	3640	1760
674	3646	1755
675	3648	1748
676	3651674	36677	3654675	3627	1738
676	36679	3662677	36680	3668678	36681	3673679	36682	3675680	36683	3679681	36684	3681682	36685	3685683	36686	3690684	36687	3693685	36688	3695686	36689	3700687	36690	3704688	36691	3707689	3680	1653
690	3683	1647
691	3687	1641
692	3690	1635
693	3696	1629
694	3698	1623
695	37698	3732696	37699	3737697	37700	3741698	37701	3744699	37702	3748700	3721	1587
701	3723	1580
702	3726	1574
703	37706	3761704	37707	3764705	37708	3768706	37709	3771707	3745	1544
